,gene_expression,copy_number
EXT1,4.001802242633985,1.04509909044499
SOCS1,0.6040713236688608,0.8994177436404924
SS18L1,3.1811025507537978,0.932934149675305
TERT,1.722466024471091,1.3967901397945603
FANCD2,4.553360503335328,0.8904118852647994
HOXC13,0.0840642647884745,0.9027720383090572
CCND3,5.659353759170051,1.0930380879496455
MAFB,0.01435529297707,0.9384501899744851
EED,5.069100631922826,1.0915322228400288
CD74,4.020591094773247,1.070864743783282
VHL,4.395062799517578,0.8904118852647994
CYSLTR2,0.01435529297707,1.0678903576329684
BCR,4.28021399581062,0.9591452942884648
IL7R,1.0,1.3967901397945603
HOOK3,2.855989697308481,1.2933891209029058
PREX2,0.0,1.0495398996792709
CBFA2T3,0.01435529297707,1.059836099947184
PRKACA,4.278728212938939,0.9279183524706704
TSC1,3.5447326559326235,0.8975904011509346
PAFAH1B2,5.4269356196483365,1.0915322228400288
KMT2C,3.232660756790275,0.8946427400008607
PTPRK,4.60584986719498,0.8769650700264217
BCL2,0.4956951626240688,0.64169188194432
CPEB3,0.3103401206121505,1.3616012497034602
FH,6.570311124318804,1.08286402215474
CIC,3.292781749227846,0.92385922946708
ETV4,4.450881315273369,1.117455921417883
NKX2-1,0.0,1.1017808918318492
MSH6,4.543495883425772,0.9031879441246532
RARA,3.693765712217783,1.117455921417883
EPAS1,2.8196681834964554,0.9031879441246532
BRAF,2.8135246892978105,0.8946427400008607
IRF4,0.1110313123887439,1.0930380879496455
FAM135B,0.01435529297707,1.0770190804671087
SDHC,6.697940582617104,1.08286402215474
ERBB2,4.4950555283680185,1.117455921417883
CNBD1,0.0,1.04509909044499
PRKAR1A,6.731319031025064,1.117455921417883
NF1,3.812498225333564,0.961466264728214
RBM10,4.69655030107857,0.640206468069557
RHOA,8.221683781010972,0.902222825924146
KNSTRN,5.85598969730848,1.028465905993921
SLC45A3,3.403267722339301,1.08286402215474
BARD1,3.073820233291672,1.0839038104179106
PRDM16,0.0565835283663675,0.9149780472702996
CRNKL1,3.092545741543565,0.8698704022961168
CCR7,0.1110313123887439,1.117455921417883
RET,0.01435529297707,1.33446607179713
ZNF429,0.0,0.918954622281231
ZMYM2,3.977279923499916,0.6495358668150917
CTCF,4.750070485865693,1.059836099947184
CD274,3.356143810225275,0.8975904011509346
ITK,0.01435529297707,1.070864743783282
LEF1,0.4956951626240688,0.8786474484934187
STAT3,5.5786368624717415,1.117455921417883
MTOR,4.059182199211692,0.9149780472702996
GMPS,5.829595899177507,1.0735932810752538
CBLC,4.976821852360685,0.92385922946708
MUTYH,4.219555769166913,0.9138096280203571
BCL9L,5.669877160489095,1.0915322228400288
MAP2K2,6.6649094418288,0.9279183524706704
