	gene_expression	copy_number
EXT1	3.5310694927259543	0.9541950544478526
SOCS1	1.839959587489532	1.2597227266693565
SS18L1	4.905928478173135	1.2401336918251775
TERT	1.819668183496456	1.0082243091668306
FANCD2	5.310703657225108	0.9635616151629438
HOXC13	3.8328900141647417	0.9090961555103472
CCND3	5.070389327891398	1.2042454983795032
MAFB	0.0840642647884745	0.939170565685012
EED	5.185866545311334	1.199423117888378
CD74	1.6276068381296498	0.9546097950514836
VHL	5.466627120041501	0.9635616151629438
CYSLTR2	0.0	0.5465194110869391
BCR	4.624100894628114	0.9137190720919336
IL7R	0.0285691521967709	0.982743950240142
HOOK3	3.534808661231747	1.286141325146271
PREX2	1.4854268271702415	0.5807226887684702
CBFA2T3	0.6229303509201767	0.9525523450617088
PRKACA	5.864433796365624	0.9090723141837708
TSC1	4.207892851641333	0.9000214194596693
PAFAH1B2	5.97246290720214	1.2680328409631267
KMT2C	5.309248960816616	1.2658393679545772
PTPRK	3.203201156316611	0.9306089855243284
BCL2	0.3673710656485294	1.2876049259477576
CPEB3	0.5558161550616396	0.988187260685102
FH	5.966937979278457	1.2793585420568865
CIC	4.969472864596329	0.911533607272418
ETV4	6.398658196365506	1.4486734393541545
NKX2-1	0.0840642647884745	0.9422588395731328
MSH6	6.340740280630179	1.2447483915559676
RARA	4.426264754702098	1.4486734393541545
EPAS1	0.3103401206121505	1.2076848442976065
BRAF	3.060047383669939	0.9347564333467564
IRF4	0.1110313123887439	1.4897330930798265
FAM135B	0.01435529297707	0.9849241027397724
SDHC	7.187253085582297	1.2140872940625893
ERBB2	7.24384042129034	1.4486734393541545
CNBD1	0.0	0.5807226887684702
PRKAR1A	7.280121179196512	1.4486734393541545
NF1	4.512226886513957	0.8865397835648648
RBM10	5.324450604656073	0.975515853724148
RHOA	8.377774481368672	0.9124369653376048
KNSTRN	5.403267722339301	0.9348389343091932
SLC45A3	3.468583317006828	1.195590930958346
BARD1	3.2234225499349374	1.2520123513060029
PRDM16	1.541019153133559	1.2299979629020985
CRNKL1	4.008988783227255	0.9817454695886272
CCR7	0.01435529297707	1.4486734393541545
RET	0.411426245726465	0.9961287080424974
ZNF429	3.683696454306516	0.9810214960185748
ZMYM2	5.924337464075348	0.947947779647365
CTCF	4.945794956740061	0.9580244893573276
CD274	0.0840642647884745	0.9707878709494748
ITK	0.01435529297707	0.9546097950514836
LEF1	0.4541758931858021	0.961540695942264
STAT3	5.90665012639538	1.4486734393541545
MTOR	5.90159099190337	1.2299979629020985
GMPS	6.132576842670009	1.2627591920709942
CBLC	0.5160151470036647	0.911533607272418
MUTYH	4.491853096329675	1.207276054746644
BCL9L	4.9823091301297735	1.2680328409631267
MAP2K2	6.727920454563199	0.90820358078973
HNF1A	0.1763227726404629	0.9513422654744232
CYLD	2.6158870739160567	0.9580244893573276
RNF213	6.3384244147835584	1.4486734393541545
PML	3.3088850574117634	0.8893190487483866
CUL3	6.213541701926564	1.2520123513060029
RAD17	4.687620632084895	0.950868673974336
FKBP9	8.135298861140672	1.511657693841932
EML4	5.438292851579147	1.2113718103358566
BRD4	4.826802684285827	0.9090723141837708
DEK	8.210525240687529	2.055418003249
PAX8	2.056583528366368	1.269812503445974
BRIP1	4.380590934265922	1.4486734393541545
STAT5B	5.765534746362977	1.4486734393541545
TSHR	0.4329594072761063	0.9422588395731328
JAK2	1.4436066514756147	0.9707878709494748
FIP1L1	5.329123596291566	0.9768409191043556
BMPR1A	5.166313747889934	0.988187260685102
HMGA1	6.146084938616191	1.1785393060722902
MAP3K1	1.765534746362977	0.950868673974336
AXIN2	3.14893410452634	1.4486734393541545
KAT6A	4.339137384919585	1.286141325146271
SALL4	6.521521923571383	1.2785742709842212
FGFR1	7.80303325170148	1.286141325146271
PPP6C	4.413458688007979	0.9157635401574098
TFE3	5.385085853547684	0.975515853724148
LRIG3	0.5849625007211562	0.957776069837998
NFKB2	3.5147534984397533	0.988187260685102
TEC	1.2203299548795556	0.9593284650592024
ELF3	1.298658315564515	1.2562576687014109
EPS15	4.486714373030702	1.2358543064888363
USP6	0.0565835283663675	0.5257076167676127
ARHGEF10	6.060263598738293	1.2848680059097863
ATIC	8.092545741543566	1.2520123513060029
HIF1A	5.912410353808268	0.9422588395731328
SRSF3	8.628190334615214	1.9783693804784648
ARHGAP5	4.471187460386985	1.021308575922831
RPL22	9.931387586306752	1.2299979629020985
TFPT	4.257764968571387	0.911533607272418
PDCD1LG2	0.0	0.9707878709494748
GNAS	10.133655992691248	1.2785742709842212
CEP89	3.8609627978581167	0.911533607272418
ARID1B	5.402244655254077	0.9306089855243284
PLAG1	0.1110313123887439	0.5807226887684702
RAC1	7.940225490941728	1.516391321729626
HOXA11	0.1110313123887439	1.516391321729626
RANBP17	2.788685710613534	0.9546097950514836
STAG1	4.042644337408494	1.280778514820449
GRM3	0.0	1.3006686320206238
SPECC1	1.831877241191673	0.5257076167676127
NBN	3.2539892662307865	0.5807226887684702
NFIB	5.032100843167024	0.9707878709494748
USP44	4.906409617094015	0.9255623258871732
SLC34A2	0.070389327891398	0.9921171541978298
ARID1A	6.0557162635125446	0.8934902877772618
COX6C	7.254461769769183	0.5807226887684702
EP300	5.129283016944966	0.9137190720919336
