drug_id,cellline_id,cancer_type,IC50,IC50_predicted
65110,ACH-000105,ALL,5.8978,5.7823
65110,ACH-000995,ALL,9.2870,6.6336
65110,ACH-000636,ALL,6.7220,6.2420
6710780,ACH-001106,ALL,-5.4993,-5.1390
6710780,ACH-000636,ALL,-4.9484,-5.2580
6710780,ACH-000953,ALL,-2.6012,-3.0726
6253,ACH-000795,ALL,2.3017,-1.4216
6253,ACH-000372,ALL,-1.6555,-0.2859
6253,ACH-000059,ALL,-2.4140,-1.4002
148124,ACH-000981,ALL,-3.2341,-4.7363
148124,ACH-000061,ALL,-3.0201,-4.0459
148124,ACH-000995,ALL,-3.2266,-4.3155
148124,ACH-000937,ALL,-2.9049,-3.7757
126941,ACH-000105,ALL,-2.2192,-2.9950
126941,ACH-000061,ALL,-3.2896,-2.8628
126941,ACH-000995,ALL,-2.5592,-2.3470
126941,ACH-000922,ALL,-3.8521,-3.3599
444795,ACH-000981,ALL,4.2095,2.8326
444795,ACH-000372,ALL,2.7987,2.8506
123631,ACH-000070,ALL,1.0015,0.3259
123631,ACH-000061,ALL,1.7035,0.8927
123631,ACH-000020,ALL,0.0856,0.7944
123631,ACH-000960,ALL,0.5154,0.7217
5311,ACH-000795,ALL,-0.2078,-0.5882
5311,ACH-000922,ALL,-1.2919,-0.2724
5311,ACH-000953,ALL,-0.1669,0.3549
644241,ACH-000070,ALL,0.8278,1.0889
644241,ACH-000918,ALL,1.3865,-1.7648
644241,ACH-000636,ALL,2.5152,1.9170
644241,ACH-000953,ALL,2.9300,2.8207
6918454,ACH-000070,ALL,1.5470,1.5827
6918454,ACH-000105,ALL,2.6301,1.6918
6918454,ACH-000922,ALL,2.5139,1.7835
6918454,ACH-000636,ALL,3.4286,1.8142
6918289,ACH-000061,ALL,-4.1694,-2.4633
6918289,ACH-000938,ALL,-1.3735,-3.6363
6918289,ACH-000372,ALL,0.1013,-1.0508
6918289,ACH-000960,ALL,-1.9036,-1.5982
6918289,ACH-000953,ALL,0.0772,-0.7649
11960529,ACH-000105,ALL,3.6012,2.9469
11960529,ACH-000918,ALL,2.8550,2.7573
11960529,ACH-000960,ALL,4.0160,3.3449
5328940,ACH-000981,ALL,1.3547,0.8288
5328940,ACH-000918,ALL,-0.7666,0.1123
5328940,ACH-000960,ALL,1.5004,1.0454
216326,ACH-000995,ALL,3.3349,3.0150
216326,ACH-000938,ALL,3.1860,2.6916
6450551,ACH-000981,ALL,2.1655,1.4941
6450551,ACH-000104,ALL,2.0431,1.9775
6450551,ACH-000795,ALL,1.2684,1.5872
6450551,ACH-000922,ALL,0.3937,0.6826
11152667,ACH-000070,ALL,-2.6536,-2.8970
11152667,ACH-000995,ALL,-0.5855,-0.9121
11152667,ACH-000372,ALL,-1.0223,-1.1092
11152667,ACH-000922,ALL,-2.7704,-2.6866
9943465,ACH-000981,ALL,-2.4557,1.9288
9943465,ACH-000938,ALL,2.6494,1.6882
9943465,ACH-000372,ALL,2.4060,2.0957
126565,ACH-000070,ALL,-3.7595,-3.3077
126565,ACH-000918,ALL,-3.4280,-2.8764
126565,ACH-000372,ALL,-1.2230,-1.2183
126565,ACH-000922,ALL,-3.1747,-3.0312
126565,ACH-000953,ALL,0.4923,-0.1741
176158,ACH-000372,ALL,3.2586,3.6852
176158,ACH-000937,ALL,4.2458,3.8599
176158,ACH-000636,ALL,3.8064,3.3268
6505803,ACH-000105,ALL,1.8922,-0.3003
6505803,ACH-000918,ALL,1.2303,0.3451
10341154,ACH-000922,ALL,0.6612,1.6200
10341154,ACH-000960,ALL,2.1356,2.0469
10341154,ACH-000059,ALL,1.7084,1.8138
11667893,ACH-000105,ALL,2.4877,1.0767
11667893,ACH-000104,ALL,2.5653,2.4885
11667893,ACH-000020,ALL,1.3428,2.7992
11667893,ACH-000918,ALL,2.3548,1.0968
11667893,ACH-000059,ALL,2.9752,1.9314
11667893,ACH-000953,ALL,2.8530,2.8980
5278396,ACH-001106,ALL,3.0120,3.1908
5278396,ACH-000795,ALL,2.8206,2.8513
5278396,ACH-000874,ALL,2.1314,3.0386
300471,ACH-001106,ALL,-4.5998,-3.0945
300471,ACH-000918,ALL,-5.8389,-3.5649
300471,ACH-000372,ALL,-1.5410,-1.0252
300471,ACH-000059,ALL,-1.0365,-2.9287
24776445,ACH-000059,ALL,3.0509,3.5247
10077147,ACH-000104,ALL,0.6054,0.1040
10077147,ACH-000960,ALL,1.5824,1.0647
10077147,ACH-000874,ALL,-0.2448,0.9312
11327430,ACH-000938,ALL,2.0278,1.6166
11327430,ACH-000922,ALL,0.5450,1.6516
11327430,ACH-000960,ALL,2.7473,1.9065
10459196,ACH-000995,ALL,4.1616,4.1719
10459196,ACH-000918,ALL,3.8641,3.1159
10459196,ACH-000960,ALL,4.5374,4.3636
10459196,ACH-000636,ALL,4.2385,3.9471
387447,ACH-000981,ALL,-7.2534,-7.2282
387447,ACH-000061,ALL,-6.2602,-6.4942
387447,ACH-000937,ALL,-6.5899,-6.5014
387447,ACH-000960,ALL,-3.3748,-6.4661
387447,ACH-000953,ALL,-3.0080,-5.1390
156422,ACH-000070,ALL,2.4582,3.1132
156422,ACH-000995,ALL,4.2525,3.9389
156422,ACH-000104,ALL,3.9111,3.1730
156422,ACH-000372,ALL,3.9036,3.7605
156422,ACH-000922,ALL,3.3219,3.3762
11624601,ACH-000995,ALL,3.9396,4.1054
11624601,ACH-000795,ALL,4.3087,3.6785
11624601,ACH-000918,ALL,3.3798,3.2664
11624601,ACH-000937,ALL,3.9062,4.3597
11624601,ACH-000922,ALL,4.1074,4.0111
11624601,ACH-000636,ALL,4.2667,3.6842
10384072,ACH-000070,ALL,0.2777,1.2944
10384072,ACH-000105,ALL,1.6473,1.1185
10384072,ACH-000995,ALL,2.5865,1.7938
10384072,ACH-000938,ALL,1.7687,1.5153
10384072,ACH-000937,ALL,2.5489,2.1746
10384072,ACH-000960,ALL,1.7059,1.7511
10384072,ACH-000059,ALL,2.7691,1.7345
11433190,ACH-000104,ALL,2.5245,2.8698
11433190,ACH-000020,ALL,2.8942,2.8603
11433190,ACH-000937,ALL,4.2912,2.9509
1401,ACH-000020,ALL,1.6592,2.1915
1401,ACH-000795,ALL,1.4524,1.2069
1401,ACH-000938,ALL,1.6444,1.5834
1401,ACH-000636,ALL,1.6769,1.3943
1401,ACH-000874,ALL,1.0878,1.3817
9914412,ACH-000070,ALL,-0.4540,0.4462
9914412,ACH-000061,ALL,2.5543,2.3975
9914412,ACH-000918,ALL,-0.5087,0.2070
9914412,ACH-000937,ALL,1.1215,1.1306
9914412,ACH-000922,ALL,-0.0479,0.5774
44450571,ACH-000061,ALL,2.5179,3.1703
44450571,ACH-001106,ALL,3.6602,2.8818
44450571,ACH-000020,ALL,2.6558,2.9390
44450571,ACH-000874,ALL,3.0710,2.8974
46930998,ACH-000981,ALL,1.6778,0.8101
46930998,ACH-000795,ALL,2.6431,0.8461
46930998,ACH-000938,ALL,-0.2074,0.3137
46930998,ACH-000372,ALL,0.8983,1.2892
46930998,ACH-000922,ALL,-2.1769,0.4405
46930998,ACH-000636,ALL,-0.3294,0.8491
46930998,ACH-000874,ALL,-1.4179,0.8272
46930998,ACH-000953,ALL,1.1930,1.8729
